Min életkor;Ár;Sorszám;Kategória;Elemek száma;Készleten levő db
10;97850;52202;NINJAGO;1447;10
2;34510;830555;CITY;7125;4
14;14890;517852;NINJAGO;4593;5
11;96480;491242;CITY;4038;7
8;23100;491156;STARWARS;5514;12
11;50610;669526;CITY;7966;2
8;22080;165069;STARWARS;3627;3
2;66080;954805;NINJAGO;8791;4
3;83110;614441;STARWARS;2422;5
9;10220;822670;CITY;1573;1
4;5820;69052;STARWARS;7076;0
14;98290;8537;NINJAGO;2532;4
13;13430;307145;STARWARS;5190;3
11;94840;931411;STARWARS;5012;0
8;5530;573970;CITY;5233;0
11;40880;339632;NINJAGO;6944;7
4;25450;799994;STARWARS;1704;2
10;29320;86343;CITY;7759;3
5;60310;543376;STARWARS;2401;1
5;23990;612495;NINJAGO;3975;4
6;12320;569297;STARWARS;3989;0
14;27540;516107;CITY;1409;0
2;80250;931998;CITY;4333;3
1;89510;2540;STARWARS;1180;6
14;44160;437810;NINJAGO;3937;3
11;10820;196637;STARWARS;226;5
4;61010;492202;CITY;4319;11
9;71820;6054;NINJAGO;6711;8
8;30280;188515;NINJAGO;6998;9
13;61040;167831;NINJAGO;4471;6
8;52300;240664;PIRATES;7634;0
6;18420;977438;CITY;2208;1
12;96540;302049;PIRATES;3100;7
11;69320;436769;NINJAGO;2758;0
12;61880;55942;PIRATES;5023;4
11;81800;375826;PIRATES;3607;5
14;51040;772079;NINJAGO;5753;3
5;56760;729120;PIRATES;529;0
13;97230;402486;PIRATES;427;6
